ep=0, test_acc=60.81999999999999, loss_cls=3.393770217895508, loss_div=0.5625884532928467, loss_total=4.518945693969727
ep=1, test_acc=61.760000000000005, loss_cls=3.348222494125366, loss_div=0.4964120090007782, loss_total=4.341049671173096
ep=2, test_acc=62.4, loss_cls=3.3142635822296143, loss_div=0.48109060525894165, loss_total=4.276442527770996
ep=3, test_acc=59.58, loss_cls=3.3229024410247803, loss_div=0.4730026423931122, loss_total=4.268908500671387
ep=4, test_acc=62.01, loss_cls=3.2989296913146973, loss_div=0.46411898732185364, loss_total=4.227168560028076
ep=5, test_acc=62.529999999999994, loss_cls=3.2749829292297363, loss_div=0.45752379298210144, loss_total=4.190029621124268
ep=6, test_acc=66.03, loss_cls=3.3329734802246094, loss_div=0.45587292313575745, loss_total=4.244717121124268
ep=7, test_acc=62.019999999999996, loss_cls=3.259061574935913, loss_div=0.45235201716423035, loss_total=4.163764953613281
ep=8, test_acc=63.3, loss_cls=3.2981152534484863, loss_div=0.451442152261734, loss_total=4.200998306274414
ep=9, test_acc=62.629999999999995, loss_cls=3.2462499141693115, loss_div=0.44795769453048706, loss_total=4.1421709060668945
ep=10, test_acc=63.79, loss_cls=3.3077380657196045, loss_div=0.4444427490234375, loss_total=4.19662618637085
ep=11, test_acc=62.81, loss_cls=3.2636141777038574, loss_div=0.44488874077796936, loss_total=4.153390407562256
ep=12, test_acc=63.62, loss_cls=3.240818500518799, loss_div=0.4414966404438019, loss_total=4.123814105987549
ep=13, test_acc=64.95, loss_cls=3.2366347312927246, loss_div=0.4403402805328369, loss_total=4.117319107055664
ep=14, test_acc=63.370000000000005, loss_cls=3.253634214401245, loss_div=0.4375188946723938, loss_total=4.128672122955322
ep=15, test_acc=63.39, loss_cls=3.27467942237854, loss_div=0.4390013813972473, loss_total=4.152686595916748
ep=16, test_acc=63.38, loss_cls=3.22475266456604, loss_div=0.4365585744380951, loss_total=4.097870349884033
ep=17, test_acc=65.73, loss_cls=3.258695602416992, loss_div=0.4351250231266022, loss_total=4.128944396972656
ep=18, test_acc=65.14999999999999, loss_cls=3.2662081718444824, loss_div=0.4350569546222687, loss_total=4.136322498321533
ep=19, test_acc=64.16, loss_cls=3.2782366275787354, loss_div=0.4352549612522125, loss_total=4.148742198944092
ep=20, test_acc=65.19, loss_cls=3.169400930404663, loss_div=0.4330431818962097, loss_total=4.035490036010742
ep=21, test_acc=65.74, loss_cls=3.240769147872925, loss_div=0.4318467676639557, loss_total=4.104462623596191
ep=22, test_acc=64.58, loss_cls=3.2461938858032227, loss_div=0.43258020281791687, loss_total=4.111354827880859
ep=23, test_acc=65.58, loss_cls=3.2221832275390625, loss_div=0.4302472770214081, loss_total=4.082675457000732
ep=24, test_acc=65.8, loss_cls=3.270449638366699, loss_div=0.4313056766986847, loss_total=4.133059978485107
ep=25, test_acc=64.61, loss_cls=3.2278096675872803, loss_div=0.43165817856788635, loss_total=4.091121196746826
ep=26, test_acc=66.18, loss_cls=3.2216100692749023, loss_div=0.42971891164779663, loss_total=4.081048965454102
ep=27, test_acc=65.36999999999999, loss_cls=3.20143723487854, loss_div=0.4286099076271057, loss_total=4.058655738830566
ep=28, test_acc=65.88000000000001, loss_cls=3.2036495208740234, loss_div=0.429034024477005, loss_total=4.06171989440918
ep=29, test_acc=65.98, loss_cls=3.200587034225464, loss_div=0.42514514923095703, loss_total=4.050879955291748
ep=30, test_acc=66.77, loss_cls=3.2302701473236084, loss_div=0.42365726828575134, loss_total=4.077584743499756
ep=31, test_acc=65.56, loss_cls=3.2319793701171875, loss_div=0.4246084988117218, loss_total=4.081196308135986
ep=32, test_acc=64.78, loss_cls=3.284268617630005, loss_div=0.4259851276874542, loss_total=4.136240482330322
ep=33, test_acc=65.71000000000001, loss_cls=3.2681474685668945, loss_div=0.422717422246933, loss_total=4.113583564758301
ep=34, test_acc=66.34, loss_cls=3.2455179691314697, loss_div=0.42435961961746216, loss_total=4.094235897064209
ep=35, test_acc=64.35, loss_cls=3.240529775619507, loss_div=0.4245784878730774, loss_total=4.089688301086426
ep=36, test_acc=65.25999999999999, loss_cls=3.2809994220733643, loss_div=0.42142924666404724, loss_total=4.1238579750061035
ep=37, test_acc=65.48, loss_cls=3.2359161376953125, loss_div=0.4210134446620941, loss_total=4.077943801879883
ep=38, test_acc=66.03, loss_cls=3.232642889022827, loss_div=0.421859472990036, loss_total=4.076357841491699
ep=39, test_acc=66.71000000000001, loss_cls=3.2259786128997803, loss_div=0.41998419165611267, loss_total=4.065945625305176
ep=40, test_acc=66.64, loss_cls=3.2154269218444824, loss_div=0.4202747642993927, loss_total=4.055976390838623
ep=41, test_acc=66.9, loss_cls=3.231426954269409, loss_div=0.41990500688552856, loss_total=4.071238040924072
ep=42, test_acc=65.22, loss_cls=3.2848331928253174, loss_div=0.41888007521629333, loss_total=4.122592926025391
ep=43, test_acc=65.67, loss_cls=3.218797206878662, loss_div=0.4178750514984131, loss_total=4.054548740386963
ep=44, test_acc=66.53999999999999, loss_cls=3.227997064590454, loss_div=0.4162518084049225, loss_total=4.060503959655762
ep=45, test_acc=65.09, loss_cls=3.22843074798584, loss_div=0.41706645488739014, loss_total=4.062564849853516
ep=46, test_acc=65.55, loss_cls=3.248446464538574, loss_div=0.416808158159256, loss_total=4.082061767578125
ep=47, test_acc=65.73, loss_cls=3.227011203765869, loss_div=0.4158090353012085, loss_total=4.058629512786865
ep=48, test_acc=65.58, loss_cls=3.238642454147339, loss_div=0.4153123199939728, loss_total=4.069266319274902
ep=49, test_acc=67.75999999999999, loss_cls=3.1703617572784424, loss_div=0.4135898947715759, loss_total=3.9975411891937256
ep=50, test_acc=67.36999999999999, loss_cls=3.2216434478759766, loss_div=0.41357484459877014, loss_total=4.048792839050293
ep=51, test_acc=66.42, loss_cls=3.213785171508789, loss_div=0.41466808319091797, loss_total=4.043123722076416
